Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
8.37,8.61,3.25,2.73,199,247,849,587,235,-9.6,0.13,0.09,0.05,2.8,426666.7103,1117.135039,5.278860823,6.79,1.533575753,30748035.14,72.0657,小型_重構造_標準天井,success,6.460747004,fcstd_outputs/sample1.FCStd
13.77,12.39,3.81,3.06,336,187,598,697,249,-7.9,0.42,0.24,-0.3,1.4,537389.7031,1854.25596,6.910879,6.96,1.316892911,91684218.47,170.6103,中型_重構造_標準天井,success,15.69218397,fcstd_outputs/sample10.FCStd
10.43,13.15,3.72,3.51,430,368,357,600,307,8.7,0.64,0.39,0.03,1.7,554310.1193,2152.869796,7.49267175,6.88,0.899176837,76026127.26,137.1545,中型_重構造_高天井,success,15.51791835,fcstd_outputs/sample100.FCStd
14.42,11.46,3.04,2.74,270,395,805,482,186,27.7,0.48,0.49,0.1,2.7,639497.8917,2322.30566,6.157861,4.48,1.613489946,105679073,165.2532,中型_重構造_標準天井,success,18.75760603,fcstd_outputs/sample101.FCStd
9.5,8.54,2.78,3.71,401,163,750,790,329,-19.6,0.65,0.17,0.39,2.3,525422.5166,1622.938903,6.4871195,5.79,2.123308345,42627528.77,81.13,小型_重構造_標準天井,success,6.94732213,fcstd_outputs/sample102.FCStd
9.26,12.52,2.61,3.74,260,349,421,425,236,-27.8,0.54,0.63,-0.02,2,482899.272,1418.649427,6.43012025,4.47,1.456551708,55985023.68,115.9352,中型_重構造_標準天井,success,11.50566673,fcstd_outputs/sample103.FCStd
10.45,12.74,3.81,3.13,448,254,765,327,163,-16.3,0.48,0.01,-0.09,3.1,445232.1755,1048.527887,6.21519193,6.12,0.592758437,59275095.22,133.133,中型_重構造_標準天井,success,11.65822792,fcstd_outputs/sample104.FCStd
9.33,11.62,3.98,2.7,331,303,355,505,269,16.8,0.64,0.34,0.39,1.3,545161.3463,1923.006264,7.080531375,6.07,0.926058341,59103449.29,108.4146,中型_重構造_標準天井,success,10.64479017,fcstd_outputs/sample105.FCStd
11.4,14.73,2.78,3.7,359,278,507,494,233,-8.9,0.31,0.45,0.2,3.1,552594.6198,1977.960815,7.078480146,6.36,0.885132207,92792793.75,167.922,中型_重構造_標準天井,success,18.85034299,fcstd_outputs/sample106.FCStd
10.67,8.58,3.43,3.25,342,334,802,717,294,25.8,0.43,0.63,-0.25,2,651903.6577,2409.246673,6.203680125,4.67,2.956052972,59680867.2,91.5486,小型_重構造_標準天井,success,9.962551117,fcstd_outputs/sample107.FCStd
13.05,13.12,3.44,2.97,370,384,821,547,207,4.7,0.3,0.26,-0.18,1.6,565288.3535,1975.672143,6.5512735,7.28,1.304634523,96786410.73,171.216,中型_重構造_標準天井,success,16.03855491,fcstd_outputs/sample108.FCStd
13.39,14.48,3.73,3.01,398,335,338,544,343,-18.9,0.66,0.04,-0.04,1.8,438725.6982,1097.342936,6.644548038,6.36,0.418689963,85063297.19,193.8872,中型_重構造_標準天井,success,18.21871996,fcstd_outputs/sample109.FCStd
12.13,11.03,3.79,3.15,190,239,760,745,339,14.4,0.69,0.47,-0.16,3,579849.7615,2118.976501,8.1160495,5.81,1.535210106,77580361.01,133.7939,中型_重構造_標準天井,success,13.00625896,fcstd_outputs/sample11.FCStd
10.79,8.95,2.89,2.94,248,318,406,682,188,24.6,0.14,0.68,-0.14,3.3,572217.872,2077.802557,5.601205814,4.79,0.901494087,55259366.01,96.5705,小型_重構造_標準天井,success,9.189282179,fcstd_outputs/sample110.FCStd
12.27,10.65,4.17,2.97,288,287,387,449,216,-21.6,0.57,0.19,0.26,3.5,469716.7459,1397.913954,6.164021703,5.59,0.787919127,61380470.62,130.6755,中型_重構造_高天井,success,11.86065006,fcstd_outputs/sample111.FCStd
8.34,8.86,3.59,3.57,207,359,536,365,247,9.1,0.49,0.05,0.25,2.1,408836.2324,1070.104111,6.493676,6.84,1.357337622,30209890.42,73.8924,小型_重構造_高天井,success,6.469228029,fcstd_outputs/sample112.FCStd
10.03,8.08,3.69,2.83,355,320,873,439,335,-7.6,0.45,0.29,-0.03,2.3,557035.5086,1892.59144,6.668582875,6.49,2.795237313,45143494.5,81.0424,小型_重構造_標準天井,success,8.001655102,fcstd_outputs/sample113.FCStd
8.12,10.96,2.68,3.4,309,257,463,473,237,-7.4,0.57,0.12,-0.13,1.5,426201.8479,1181.195803,6.086150438,7.51,1.199636551,37929918.7,88.9952,小型_重構造_標準天井,success,7.885495186,fcstd_outputs/sample114.FCStd
13.85,11.15,3.01,3.63,458,365,828,768,241,-14.7,0.32,0.62,0.02,1.1,639671.4486,2324.929352,6.321499,6.28,2.307094191,98782862.63,154.4275,中型_超重構造_標準天井,success,15.45820189,fcstd_outputs/sample115.FCStd
13.45,10.62,2.63,3.56,413,161,452,629,157,-26,0.18,0.16,-0.04,1.2,494819.6541,1475.611684,4.8637895,5.65,1.425620177,70679544.57,142.839,中型_重構造_標準天井,success,14.90313888,fcstd_outputs/sample116.FCStd
14.45,9.63,4.02,2.65,488,393,829,711,183,-19.7,0.17,0.48,-0.22,1.5,651109.9705,2384.756697,6.133185,5.78,2.390880234,90604231.29,139.1535,中型_超重構造_標準天井,success,17.34434009,fcstd_outputs/sample117.FCStd
8.12,14.17,4.06,3.28,426,218,335,754,272,11.4,0.58,0.23,-0.09,1,538107.7859,1694.912885,7.000834063,6.61,1.103306425,61914897.09,115.0604,中型_重構造_高天井,success,16.08579683,fcstd_outputs/sample118.FCStd
10.54,11.16,3.48,3.61,195,254,321,389,263,-29.4,0.55,0.32,0.01,3.3,488123.3945,1641.911892,6.406392742,4.31,0.680492795,57416197.65,117.6264,中型_標準構造_高天井,success,11.02750421,fcstd_outputs/sample119.FCStd
8.2,11.65,3.99,3.22,250,237,812,353,289,13.6,0.23,0.4,-0.33,3.3,538658.6468,1890.015172,6.681963879,5.89,1.09857258,51458060.52,95.53,小型_標準構造_高天井,success,9.611191034,fcstd_outputs/sample12.FCStd
