Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
11.22,11.18,2.63,2.7,350,583,478,452,368,-28.3,0.85,0.64,0.4,3.3,0,1,1,0,0,0,564735.522623719,1189.212511401914,6.222281117776829,4.42,1.1594004826157205,70840198.06371026,125.4396,中型_超重構造_低天井_混合構造,success,9.05884313583374,fcstd_outputs/sample1.FCStd
9.76,9.78,3.36,2.9,484,493,444,509,319,-24.2,0.5,0.09,0.32,3.0,1,1,1,1,1,0,356031.23449383915,317.18864025790594,6.255966043095852,5.33,0.8553684683852621,33984178.21989353,95.4528,小型_超重構造_標準天井_木造中心,success,3.4128689765930176,fcstd_outputs/sample2.FCStd
11.65,11.96,3.43,3.14,370,378,616,852,481,-6.0,0.83,0.02,-0.02,1.3,1,0,0,1,0,0,624802.341856989,719.6668002699934,6.920700893469776,7.65,0.44455938464962286,87056209.5003017,139.334,中型_重構造_標準天井_混合構造,success,3.5707509517669678,fcstd_outputs/sample3.FCStd
11.91,10.04,2.71,2.91,413,479,921,516,489,-6.5,0.72,0.04,-0.15,1.2,0,0,0,0,0,1,710091.880410293,1053.9581934131872,6.036354747598402,7.6,1.1230389759844825,84910230.72869335,119.57639999999999,中型_超重構造_標準天井_RC中心,success,3.8141560554504395,fcstd_outputs/sample4.FCStd
10.79,9.47,2.67,2.9,436,490,939,658,446,11.2,0.61,0.62,-0.12,1.2,1,1,0,1,1,0,703661.8394772554,545.8810415718963,5.815807068161639,6.630000000000001,2.402334129823182,71901081.51817727,102.1813,中型_超重構造_低天井_木造中心,success,4.4023449420928955,fcstd_outputs/sample5.FCStd
11.68,9.55,2.72,2.85,565,568,520,699,369,-10.0,0.36,0.03,0.24,2.5,0,1,0,1,0,1,516648.5934946732,678.3640840055646,6.2009377660054685,6.75,1.4994534076016925,57629050.712769836,111.54400000000001,中型_超重構造_低天井_混合構造,success,3.4620280265808105,fcstd_outputs/sample6.FCStd
11.22,10.01,2.65,2.76,565,518,514,471,327,-27.1,0.43,0.13,0.34,3.5,0,1,0,0,1,1,436577.0670440617,695.9331411263291,5.5995132580633475,5.04,0.9887863172712154,49032930.86926607,112.3122,中型_超重構造_低天井_混合構造,success,3.6840577125549316,fcstd_outputs/sample7.FCStd
10.51,8.63,2.71,2.67,396,369,642,725,479,-8.7,0.63,0.16,-0.32,3.1,1,1,0,1,1,1,425103.6622533478,318.4015842882039,6.340184564122674,6.880000000000001,1.1464907437980567,38557454.80113958,90.7013,小型_重構造_低天井_木造中心,success,2.9446258544921875,fcstd_outputs/sample8.FCStd
8.93,9.39,2.86,2.81,576,415,624,899,492,-7.6,0.18,0.61,-0.01,2.6,1,0,0,0,1,0,1190844.8414301195,1366.458772012724,6.045770957673535,6.49,1.6352782411946987,99855555.23498738,83.8527,小型_超重構造_標準天井_混合構造,success,3.133967876434326,fcstd_outputs/sample9.FCStd
12.0,8.57,2.8,2.64,500,395,787,629,304,-16.7,0.7,0.13,-0.14,2.1,0,1,0,1,0,0,611369.7917485103,834.9471166668479,6.043634601327932,6.08,1.224389557613382,62873269.3834168,102.84,中型_超重構造_低天井_混合構造,success,3.3112051486968994,fcstd_outputs/sample10.FCStd
