Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
9.67,8.04,3.34,2.87,444,588,499,538,444,-3.8,0.4,0.87,-0.24,2.6,0,1,0,1,0,0,828884.7908430693,1547.9405902945061,6.704852533961106,5.869999999999999,1.6195858306244504,64443140.05671794,77.7468,小型_超重構造_標準天井_混合構造,success,7.374998092651367,fcstd_outputs/sample1.FCStd
8.82,8.31,3.35,2.89,467,436,413,661,476,14.7,0.1,0.94,0.37,2.9,0,1,0,1,0,0,879674.1553023657,1769.7810241006207,6.285115433947313,4.779999999999999,1.2575565142739256,64475013.47356265,73.2942,小型_超重構造_標準天井_混合構造,success,5.805240154266357,fcstd_outputs/sample2.FCStd
10.95,8.93,3.07,3.24,561,434,420,518,330,22.4,0.27,0.8,0.06,1.5,1,0,0,0,1,0,805180.8331370988,1774.8480998659447,5.898931509587079,4.51,0.717491709953735,78733399.99706149,97.78349999999999,小型_超重構造_標準天井_混合構造,success,7.067148923873901,fcstd_outputs/sample3.FCStd
8.6,8.92,3.09,2.74,432,353,425,431,482,-3.3,0.41,0.8,-0.32,1.0,1,0,0,1,0,0,670216.8532926517,1561.7107226054677,5.945978285288235,6.42,0.4501986034926354,51413675.2497859,76.712,小型_重構造_標準天井_混合構造,success,4.863738059997559,fcstd_outputs/sample4.FCStd
10.5,9.3,3.15,2.98,593,490,503,586,496,9.8,0.2,0.15,-0.01,3.2,1,0,0,0,0,1,896509.5622328961,1529.7236458660702,6.378704138902594,6.77,0.7844308502659524,87544158.75204231,97.65,小型_超重構造_標準天井_混合構造,success,5.417160987854004,fcstd_outputs/sample5.FCStd
8.6,8.36,3.23,2.73,518,476,494,711,324,-14.1,0.7,0.07,0.25,2.2,0,0,0,0,1,1,579711.7631736728,925.7679028277088,6.4707284125648385,6.34,1.825973426506393,41678956.925134376,71.89599999999999,小型_超重構造_標準天井_混合構造,success,4.2060558795928955,fcstd_outputs/sample6.FCStd
8.7,8.71,3.11,3.34,578,413,611,662,477,-4.9,0.2,0.64,0.24,2.6,0,0,0,1,1,0,837601.7707984275,1363.7369897376473,6.457683127846069,6.76,1.607307521973758,63470949.38579244,75.777,小型_超重構造_標準天井_混合構造,success,5.683106184005737,fcstd_outputs/sample7.FCStd
10.15,10.77,3.2,3.32,416,548,618,422,393,18.0,0.53,0.11,0.26,1.4,0,1,1,1,1,1,436262.08891728526,500.3824618148506,6.27746980324165,6.45,1.0771583753297556,47690208.381037496,109.3155,中型_超重構造_標準天井_木造中心,success,5.998777866363525,fcstd_outputs/sample8.FCStd
9.8,9.06,3.26,3.03,417,464,415,512,388,-21.8,0.1,0.97,0.3,1.2,0,0,1,1,0,1,637495.1248579334,1390.8146845031026,5.695106636262139,4.57,0.8785958383293798,56601917.1458862,88.78800000000001,小型_超重構造_標準天井_混合構造,success,7.342164993286133,fcstd_outputs/sample9.FCStd
9.4,11.61,3.25,3.36,369,507,554,588,500,21.9,0.44,0.16,-0.36,1.8,1,1,0,0,0,0,663091.1080075194,966.226067141751,6.224548244440729,6.0600000000000005,0.8667531564236489,72365784.98129262,109.134,中型_超重構造_標準天井_混合構造,success,5.817724227905273,fcstd_outputs/sample10.FCStd
11.81,8.13,3.5,2.95,571,360,523,451,424,-21.1,0.27,0.57,-0.14,3.4,1,0,0,0,0,1,827054.490292443,1656.810259543874,6.3256852797821255,5.14,0.5398667180239096,79409885.00177601,96.01530000000001,小型_超重構造_標準天井_混合構造,success,5.996546983718872,fcstd_outputs/sample11.FCStd
11.36,8.06,3.4,3.04,562,422,512,437,392,-5.5,0.18,0.15,0.1,1.2,0,0,0,1,0,1,599543.9236901492,1290.4717484707037,6.211362884345528,7.699999999999999,1.1500024617319973,54895200.923347965,91.5616,小型_超重構造_標準天井_混合構造,success,7.017028093338013,fcstd_outputs/sample12.FCStd
9.25,11.2,2.71,3.11,364,495,456,648,330,-24.2,0.24,0.94,-0.19,1.5,0,1,1,1,0,1,642484.0782422123,1192.1526628956763,5.649574675682128,4.33,1.6226089035785827,66561350.50589319,103.6,中型_超重構造_標準天井_木造中心,success,6.308881998062134,fcstd_outputs/sample13.FCStd
8.88,8.89,3.27,2.75,500,489,523,751,420,25.4,0.82,0.55,0.43,2.6,0,1,0,0,0,0,850607.3815599971,1517.4656256846476,6.151121842446857,4.71,2.0836319665410308,67149668.64396718,78.94320000000002,小型_超重構造_標準天井_RC中心,success,6.373708963394165,fcstd_outputs/sample14.FCStd
10.24,8.49,2.84,2.81,421,407,654,589,487,11.3,0.63,0.56,0.15,3.2,0,0,1,0,1,1,647905.9019568177,998.2487348080326,6.585704138734652,6.119999999999999,1.0226999174125708,56327384.14196104,86.9376,小型_超重構造_標準天井_混合構造,success,6.841437339782715,fcstd_outputs/sample15.FCStd
10.74,9.69,2.7,2.82,427,458,689,463,343,-16.9,0.59,0.92,-0.24,3.2,0,0,1,0,1,1,650048.4195788967,1276.2503199949006,6.245234492442916,4.5600000000000005,1.2359733577709853,67650929.05462752,104.0706,中型_超重構造_低天井_混合構造,success,8.181651830673218,fcstd_outputs/sample16.FCStd
10.78,8.81,3.16,2.63,451,443,510,687,364,-16.2,0.84,0.2,0.42,1.0,0,0,1,0,0,1,576028.1791891586,1032.2517563769034,6.120707046304356,6.130000000000001,1.7496891830320944,54706433.02831694,94.9718,小型_超重構造_標準天井_混合構造,success,5.791903972625732,fcstd_outputs/sample17.FCStd
10.04,8.12,2.99,3.43,498,452,730,727,486,9.6,0.45,0.56,-0.22,1.7,0,1,1,0,1,0,864309.4802566058,1207.8841254153713,6.3045443039076785,6.789999999999999,2.980725694925406,70462657.51602373,81.52479999999998,小型_超重構造_標準天井_混合構造,success,5.4559338092803955,fcstd_outputs/sample18.FCStd
10.81,10.93,3.35,2.84,430,577,611,774,400,-1.4,0.89,0.69,-0.38,2.1,0,1,0,0,1,0,687826.4321009725,1092.8611800365343,7.20443756620732,7.109999999999999,1.8612190658734593,81268962.77995583,118.1533,中型_超重構造_標準天井_混合構造,success,8.737381935119629,fcstd_outputs/sample19.FCStd
11.37,9.08,2.73,2.74,432,510,707,561,410,-27.6,0.3,0.6,-0.04,1.9,1,1,0,1,1,0,554524.177803794,475.86515895820656,5.133342694915617,4.99,2.4770926318550184,57248854.30679257,103.2396,中型_超重構造_低天井_木造中心,success,7.4781529903411865,fcstd_outputs/sample20.FCStd
10.0,10.77,3.02,2.93,454,600,641,515,457,0.5,0.49,0.83,0.1,3.2,1,0,0,0,0,0,1178868.6213221052,2000.0,6.676186294605607,6.199999999999999,0.6089470895923017,126964150.51639071,107.69999999999999,中型_超重構造_標準天井_RC中心,success,7.453884124755859,fcstd_outputs/sample21.FCStd
11.12,8.5,2.66,3.19,350,374,572,533,450,-15.1,0.53,0.28,0.11,2.4,1,1,1,0,0,1,591809.6674090847,938.7924818890679,6.289084309441737,5.74,1.6682545251220295,55937849.76350669,94.52,小型_重構造_標準天井_木造中心,success,6.249326705932617,fcstd_outputs/sample22.FCStd
9.76,9.26,2.83,2.75,424,522,431,656,332,-21.5,0.26,0.27,0.35,3.3,0,0,0,0,0,0,710449.1284459769,1535.2542561188434,5.94659184142151,5.1,0.866553522920312,64208687.15103912,90.3776,小型_超重構造_低天井_RC中心,success,4.892189025878906,fcstd_outputs/sample23.FCStd
8.08,8.58,2.98,2.98,394,594,479,744,430,1.0,0.49,0.1,0.25,2.9,0,0,1,0,1,1,504890.95760551305,658.854370554535,6.520387687604968,7.65,1.7096225105264307,35002272.48334284,69.3264,小型_超重構造_標準天井_混合構造,success,4.4685633182525635,fcstd_outputs/sample24.FCStd
11.84,9.18,3.09,2.97,434,391,528,641,441,-19.8,0.67,0.38,-0.06,3.2,1,0,0,1,1,1,639686.8365598697,884.1619789877858,6.621828055522253,5.27,0.8828400075493802,69528329.88989611,108.6912,中型_超重構造_標準天井_木造中心,success,6.734203815460205,fcstd_outputs/sample25.FCStd
10.81,10.07,2.93,2.96,401,446,451,455,463,2.4,0.47,0.5,-0.42,3.1,0,0,1,0,0,1,599629.1199961076,1389.5578927109732,7.069166050688266,7.01,0.7754812783591918,65273647.22668029,108.8567,中型_超重構造_標準天井_混合構造,success,5.8552939891815186,fcstd_outputs/sample26.FCStd
10.55,9.62,2.86,3.07,407,556,779,490,463,-24.1,0.22,0.24,-0.38,1.8,1,1,0,1,1,1,481877.6724251733,348.054219580631,5.431513982494522,5.34,1.6400592262572369,48906246.85210326,101.491,中型_超重構造_標準天井_木造中心,success,5.220789909362793,fcstd_outputs/sample27.FCStd
8.02,11.88,3.4,3.24,460,465,614,648,326,-1.5,0.28,0.05,-0.33,1.5,0,0,0,0,0,0,623108.7812174922,1182.0398377637725,6.55436291420614,8.1,1.7584361771612091,59368309.213327736,95.2776,小型_超重構造_標準天井_RC中心,success,5.103330135345459,fcstd_outputs/sample28.FCStd
10.57,11.31,2.69,2.61,592,543,430,533,331,19.7,0.34,0.84,-0.49,2.5,0,1,0,0,0,1,810663.0084224654,1974.8065836773874,6.049330792292155,4.28,0.732155267558519,96912087.46897796,119.54670000000002,中型_超重構造_低天井_混合構造,success,7.784081220626831,fcstd_outputs/sample29.FCStd
8.4,9.77,2.66,2.95,389,465,567,640,489,9.5,0.61,0.52,0.35,2.0,0,1,1,0,1,0,639907.3972362863,1006.3871315981888,6.369629206451864,6.300000000000001,2.2710234102639277,52515920.27638754,82.068,小型_超重構造_標準天井_混合構造,success,5.616242170333862,fcstd_outputs/sample30.FCStd
9.85,8.47,3.23,3.42,579,444,461,711,369,-25.4,0.26,0.1,-0.1,1.8,1,0,0,1,1,0,589504.1462548528,753.3467991877961,5.877252106286528,5.71,2.5217110756968464,49182036.16996924,83.4295,小型_超重構造_標準天井_混合構造,success,5.200722932815552,fcstd_outputs/sample31.FCStd
8.59,8.68,2.81,2.7,536,454,736,406,348,5.3,0.44,0.33,-0.11,1.7,1,0,0,0,1,1,665971.6580967496,1163.6480367735373,5.669338452597611,7.220000000000001,1.7947091256927061,49655645.99368336,74.5612,小型_超重構造_低天井_混合構造,success,4.885304689407349,fcstd_outputs/sample32.FCStd
8.05,11.08,3.02,3.09,517,376,789,665,414,-3.9,0.21,0.04,-0.33,1.4,1,0,1,1,1,1,492227.672091177,288.2419159496133,5.845872367695149,7.859999999999999,1.8512925006831138,43903754.984500445,89.194,小型_超重構造_標準天井_木造中心,success,5.701031923294067,fcstd_outputs/sample33.FCStd
9.65,10.19,2.84,2.89,370,395,800,527,425,-1.1,0.71,0.54,-0.16,2.4,1,1,1,1,0,1,627263.5797144846,758.9408086198972,6.533208035089258,7.140000000000001,1.4550261520136578,61681023.21585427,98.3335,小型_重構造_標準天井_木造中心,success,8.479192972183228,fcstd_outputs/sample34.FCStd
8.3,9.83,2.99,3.31,465,537,764,694,352,-4.4,0.65,0.24,-0.15,1.8,1,0,0,1,1,0,823891.2445205967,841.2968840090016,6.353440530164502,7.3100000000000005,2.607412004446592,67220462.74919097,81.58900000000001,小型_超重構造_標準天井_混合構造,success,5.166979074478149,fcstd_outputs/sample35.FCStd
11.87,10.67,3.2,2.73,499,568,721,400,349,18.6,0.33,0.4,0.0,1.5,1,1,1,1,0,0,739589.1967804872,1128.1856871934008,5.965029483077754,5.89,0.8843638105146343,93671116.58091936,126.65289999999999,中型_超重構造_標準天井_木造中心,success,8.846633195877075,fcstd_outputs/sample36.FCStd
11.71,10.32,3.17,3.11,424,399,778,711,453,-5.5,0.72,0.65,-0.15,1.4,0,1,1,0,1,1,746029.9506040433,994.6437663500523,6.743688096377396,7.199999999999999,2.296426300623881,90155630.64663695,120.84720000000002,中型_超重構造_標準天井_木造中心,success,7.062707901000977,fcstd_outputs/sample37.FCStd
8.33,10.4,3.44,3.44,513,463,411,433,405,-19.9,0.32,0.46,0.39,2.8,0,0,0,0,0,1,706039.254783277,1625.5925870695485,6.704744740386307,5.26,0.8408104743395395,61165592.72038486,86.632,小型_超重構造_標準天井_RC中心,success,5.070677042007446,fcstd_outputs/sample38.FCStd
10.57,10.22,2.7,3.48,514,420,473,574,499,-16.7,0.78,0.96,-0.02,1.1,1,1,1,0,1,0,788429.0753876445,1108.269237076616,6.485922605897766,5.08,1.3086887860269563,85170366.24038045,108.0254,中型_超重構造_標準天井_木造中心,success,7.477642297744751,fcstd_outputs/sample39.FCStd
11.0,10.43,3.29,2.62,531,502,488,793,356,29.8,0.68,0.45,-0.47,2.7,0,0,1,0,1,1,703432.5606424924,1088.7697431585618,6.243227102674307,4.27,2.042249230169476,80704817.68251315,114.72999999999999,中型_超重構造_標準天井_混合構造,success,7.887355089187622,fcstd_outputs/sample40.FCStd
10.07,8.06,2.7,3.38,508,527,554,470,334,-4.8,0.81,0.87,0.44,1.5,1,1,0,1,1,0,573959.5807059407,699.6870734332596,6.286810239386182,6.27,1.0463695155284582,46584970.20033312,81.16420000000001,小型_超重構造_標準天井_木造中心,success,6.110691070556641,fcstd_outputs/sample41.FCStd
9.43,8.9,3.43,3.24,586,459,773,653,486,14.8,0.34,0.25,-0.42,1.6,0,0,1,1,1,0,767792.4645229297,839.4460923107347,6.220518072746032,6.27,2.7444567356666525,64438518.17001593,83.927,小型_超重構造_標準天井_混合構造,success,5.657988786697388,fcstd_outputs/sample42.FCStd
10.73,9.71,3.04,3.41,436,570,785,510,439,12.0,0.89,0.01,0.21,1.3,0,1,1,0,1,0,521268.11670937407,610.8910160192162,6.429581568550267,7.050000000000001,0.2772281166069542,54310038.92415129,104.18830000000001,中型_超重構造_標準天井_混合構造,success,5.432983875274658,fcstd_outputs/sample43.FCStd
11.87,9.52,3.42,3.24,494,495,785,615,319,10.5,0.79,0.56,0.43,3.2,0,1,0,0,0,0,837065.797984522,1625.5318081790997,7.205005905225115,6.199999999999999,1.3475664714868494,94590444.13016614,113.0024,中型_超重構造_標準天井_RC中心,success,6.993330001831055,fcstd_outputs/sample44.FCStd
10.62,10.4,3.19,2.96,519,444,756,594,483,-13.0,0.73,0.02,-0.18,1.3,0,0,1,1,0,1,547517.0824223694,653.0112989218505,6.31704459993719,6.949999999999999,0.759422720971601,60472166.71938585,110.448,中型_超重構造_標準天井_混合構造,success,5.581099033355713,fcstd_outputs/sample45.FCStd
9.45,10.51,3.0,3.44,481,543,647,406,431,-23.1,0.16,0.57,-0.41,2.0,1,0,1,1,0,1,610482.9811640516,742.3955115546646,5.994495800675831,4.9399999999999995,1.0401302405679236,60632864.447723016,99.31949999999999,小型_超重構造_標準天井_木造中心,success,5.654618740081787,fcstd_outputs/sample46.FCStd
9.67,11.74,3.08,3.28,506,483,572,409,350,-5.4,0.63,0.32,-0.23,3.4,1,1,0,1,0,0,529695.9372557548,854.6267268848276,6.9395567113488035,6.710000000000001,0.46022160635405285,60134155.03370938,113.5258,中型_超重構造_標準天井_混合構造,success,6.155832052230835,fcstd_outputs/sample47.FCStd
