NSGA-II多目的最適化進捗ログ
開始時刻: 2025/07/21 17:43:14
個体群サイズ: 50, 世代数: 100
------------------------------------------------------------
世代	パレート解数	最良安全率	最良コスト
------------------------------------------------------------
0	5	2.41	325219
1	8	2.63	309819
2	5	3.23	303507
3	9	3.23	277938
4	12	3.41	270150
5	19	3.72	266382
6	21	3.72	256912
7	18	3.72	256743
8	23	3.72	221659
9	28	3.72	221659
10	33	3.74	221659
11	36	3.83	220237
12	39	3.83	220171
13	35	3.89	220171
14	36	3.89	220171
15	33	3.90	220171
16	31	3.93	220160
17	34	3.93	220127
18	39	4.14	218501
19	36	4.14	218501
20	32	4.14	218501
21	34	4.19	217120
22	44	4.24	216835
23	38	4.25	216835
24	38	4.25	216746
25	40	4.32	216746
26	36	4.32	216746
27	43	4.36	216746
28	47	4.36	216746
29	38	4.41	216746
30	45	4.47	216746
31	50	4.47	216701
32	50	4.84	216701
33	50	4.84	216701
34	48	4.84	216701
35	50	4.85	216701
36	50	4.85	215824
37	50	4.85	215824
38	47	4.85	215824
39	50	5.32	215824
40	50	5.32	215824
41	50	5.32	215824
42	50	5.32	215824
43	50	5.38	215824
44	50	5.38	215824
45	45	5.38	211927
46	50	5.48	211927
47	50	5.48	211722
48	50	5.48	211722
49	50	5.48	211722
50	50	5.48	211722
51	50	5.48	211722
52	50	5.48	211714
53	50	5.48	211714
54	50	5.48	211714
55	50	5.48	211714
56	44	5.48	211714
57	46	5.48	211714
58	49	5.48	211714
59	50	5.48	211714
60	48	5.48	211714
61	50	5.48	211714
62	50	5.48	211714
63	50	5.48	211714
64	50	5.48	211714
65	50	5.48	211714
66	50	5.48	211714
67	49	5.48	211697
68	48	5.48	211697
69	50	5.48	211697
70	50	5.48	211620
71	50	5.48	211589
72	47	5.48	211589
73	50	5.48	211589
74	47	5.85	211589
75	50	5.85	211589
76	49	5.85	211589
77	50	6.03	211589
78	50	6.20	211589
79	44	6.20	211589
80	50	6.20	211589
81	50	6.40	211589
82	50	6.40	211589
83	50	6.40	211589
84	50	6.43	211586
85	50	6.61	211586
86	50	6.85	211586
87	50	6.85	211586
88	50	6.87	211586
89	50	6.87	211586
90	50	6.96	211586
91	50	6.96	211586
92	50	6.96	211586
93	50	6.96	211586
94	50	7.10	211586
95	50	7.10	211586
96	50	7.10	211586
97	50	7.10	211586
98	50	7.10	211586
99	50	7.10	211586
100	50	7.10	211586
