Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
8.37,8.61,3.25,2.73,199,247,849,587,235,-9.6,0.13,0.09,0.05,2.8,1222566.1048781795,787.9940826254654,7.9696875,6.789999999999999,1.6286987218502265,88105082.14431942,72.06569999999999,小型_重構造_標準天井,success,3.2091119289398193,fcstd_outputs/sample1.FCStd
9.15,14.34,3.84,3.65,373,167,306,461,337,-3.1,0.64,0.06,-0.29,3.0,1177328.6133000127,549.718779148933,10,7.4399999999999995,0.5093679809307952,154478464.67970797,131.211,中型_重構造_高天井,success,8.187355041503906,fcstd_outputs/sample2.FCStd
8.15,14.38,3.52,2.92,198,346,612,475,283,18.1,0.22,0.43,0.02,3.0,1236857.5210906526,721.9108183152259,9.16109375,5.4399999999999995,1.0670660563341066,144955990.89926124,117.19700000000002,中型_重構造_標準天井,success,8.45966100692749,fcstd_outputs/sample3.FCStd
10.21,10.79,3.83,3.22,455,313,797,566,321,-4.8,0.41,0.59,0.12,2.8,1377215.1556080945,1488.4331006421614,9.740375,6.77,1.578013435473885,151722147.1112058,110.1659,中型_重構造_高天井,success,4.832551956176758,fcstd_outputs/sample4.FCStd
8.58,11.41,3.02,3.0,463,250,375,670,266,-6.7,0.57,0.01,0.07,3.1,1200947.7354399057,623.9939968846182,9.48403125,7.08,0.904142008551049,117570141.2145488,97.8978,小型_重構造_標準天井,success,4.625382900238037,fcstd_outputs/sample5.FCStd
10.54,14.27,4.2,3.09,436,335,361,627,223,29.5,0.68,0.44,-0.21,2.2,1308968.343850989,1179.4237599303585,10,4.3,1.1069985438059895,196876430.93158302,150.40579999999997,中型_重構造_高天井,success,9.892705202102661,fcstd_outputs/sample6.FCStd
9.24,14.94,3.31,3.5,202,152,437,533,199,-28.7,0.58,0.48,0.36,2.6,1201899.5539944484,603.6849546524825,9.7405,4.38,1.2472816254973627,165916945.07089603,138.0456,中型_標準構造_標準天井,success,9.087666988372803,fcstd_outputs/sample7.FCStd
8.0,12.32,3.42,3.45,222,260,308,707,287,-7.4,0.43,0.44,-0.38,1.8,1214156.9770560756,751.8532602454759,9.418,7.01,1.3002056121243846,119667311.6586468,98.56,小型_標準構造_標準天井,success,5.739423036575317,fcstd_outputs/sample8.FCStd
14.69,8.23,3.5,3.1,192,313,467,752,257,-26.1,0.62,0.1,0.14,2.9,1197315.0944260773,469.7767440334817,9.371375,5.14,1.615231632637125,144753838.40649,120.8987,中型_重構造_標準天井,success,8.534147024154663,fcstd_outputs/sample9.FCStd
13.77,12.39,3.81,3.06,336,187,598,697,249,-7.9,0.42,0.24,-0.3,1.4,1311695.3111676546,1210.6037798107948,9.569500000000001,6.960000000000001,1.302787404274794,223788730.5469069,170.6103,中型_重構造_標準天井,success,8.11798906326294,fcstd_outputs/sample10.FCStd
12.13,11.03,3.79,3.15,190,239,760,745,339,14.4,0.69,0.47,-0.16,3.0,1354545.5831100238,1398.0922491630793,10,5.8100000000000005,1.088055403989482,181229936.29206422,133.7939,中型_重構造_標準天井,success,6.776391983032227,fcstd_outputs/sample11.FCStd
8.2,11.65,3.99,3.22,250,237,812,353,289,13.6,0.23,0.4,-0.33,3.3,1269440.7192939061,965.2686322715954,9.21046875,5.890000000000001,1.0282609202343995,121269671.91414686,95.53,小型_標準構造_高天井,success,4.8989949226379395,fcstd_outputs/sample12.FCStd
9.7,14.21,3.02,2.65,436,170,501,558,201,15.5,0.63,0.01,-0.19,1.6,1203808.060655882,525.1747476113172,9.185656250000001,6.699999999999999,0.873008239219901,165929291.65662482,137.837,中型_重構造_標準天井,success,8.344667911529541,fcstd_outputs/sample13.FCStd
12.2,8.59,3.49,2.76,453,184,795,552,337,-6.1,0.12,0.5,0.26,3.2,1325568.180337868,1205.4638941230298,8.682031250000001,6.640000000000001,1.2755826739595673,138916894.16304788,104.79799999999999,中型_重構造_標準天井,success,6.3703789710998535,fcstd_outputs/sample14.FCStd
10.38,14.4,3.94,3.71,492,312,306,759,303,6.5,0.4,0.49,-0.3,1.1,1306520.9265759317,1183.785542514777,9.56,7.1,0.9319727229025655,195288295.9371577,149.472,中型_超重構造_高天井,success,9.157824039459229,fcstd_outputs/sample15.FCStd
14.03,10.53,3.67,3.1,363,205,759,475,342,-18.5,0.7,0.27,0.24,3.1,1308472.6842638701,1073.0734920712232,10,5.4,1.3755080501992734,193308389.63513866,147.7359,中型_重構造_標準天井,success,8.910217046737671,fcstd_outputs/sample16.FCStd
10.63,9.86,4.08,3.63,372,244,370,771,225,-22.7,0.26,0.57,-0.14,3.4,1330296.3347899478,1225.9764898118635,9.045468750000001,4.98,0.8667280499271915,139430753.38273707,104.8118,中型_重構造_高天井,success,4.344750165939331,fcstd_outputs/sample17.FCStd
8.36,10.72,2.77,3.29,346,212,756,436,262,3.8,0.31,0.66,-0.04,2.4,1275438.4626142215,1073.0674352187168,9.170874999999999,6.869999999999999,2.0307032761805295,114303774.66871643,89.61919999999999,小型_重構造_標準天井,success,4.054930925369263,fcstd_outputs/sample18.FCStd
14.46,10.36,2.68,2.75,399,319,808,675,183,-1.4,0.13,0.7,-0.29,3.2,1355528.0165240173,1356.7769600989698,8.428875,6.109999999999999,1.3677999592421946,203065687.83219033,149.8056,中型_重構造_低天井,success,9.401601076126099,fcstd_outputs/sample19.FCStd
14.24,9.55,3.98,3.16,487,348,595,661,298,24.1,0.11,0.51,-0.22,3.2,1371141.385203842,1330.2137220160478,8.67515625,4.84,1.4325876748717243,186464259.2566409,135.99200000000002,中型_超重構造_高天井,success,9.074482917785645,fcstd_outputs/sample20.FCStd
14.1,10.0,4.19,3.03,202,305,313,554,322,-20.1,0.13,0.37,0.21,3.3,1274018.8152720965,1021.1226398730686,8.754999999999999,5.24,0.8293498634035364,179636652.95336562,141.0,中型_重構造_高天井,success,9.206068992614746,fcstd_outputs/sample21.FCStd
13.88,10.12,3.99,3.16,324,285,394,352,263,6.8,0.43,0.57,0.02,3.3,1295247.9495456214,1214.5027232285884,10,6.57,0.5816543657120662,181937780.38169542,140.4656,中型_重構造_高天井,success,7.9078590869903564,fcstd_outputs/sample22.FCStd
12.45,10.75,3.88,3.14,210,295,743,689,317,-3.8,0.31,0.35,-0.24,1.5,1329513.8228080429,1300.2976892154134,9.1335,7.369999999999999,1.8110320374718543,177938806.26007146,133.8375,中型_重構造_高天井,success,6.734078884124756,fcstd_outputs/sample23.FCStd
9.69,8.26,4.06,2.69,193,152,722,635,232,2.8,0.13,0.66,0.18,3.2,1292051.705842051,1157.6765738318925,8.70865625,6.970000000000001,1.2525423055032257,103415043.30457425,80.0394,小型_重構造_標準天井,success,3.8115012645721436,fcstd_outputs/sample24.FCStd
11.05,10.04,2.9,2.74,346,204,827,313,341,-8.3,0.19,0.16,-0.22,2.7,1255974.6927995265,978.6949608026068,8.251093749999999,6.92,1.2588312587612622,139340344.36856505,110.942,中型_重構造_標準天井,success,4.793493986129761,fcstd_outputs/sample25.FCStd
11.04,11.92,3.22,3.78,434,372,343,446,185,-1.5,0.53,0.07,-0.3,3.3,1226225.691268612,839.5992436449919,9.597308543736334,7.6,0.5615103657265382,161367377.0487373,131.5968,中型_超重構造_標準天井,success,5.2623069286346436,fcstd_outputs/sample26.FCStd
10.47,12.3,3.31,3.02,365,204,699,779,162,-23.7,0.6,0.53,0.07,1.8,1307846.215298112,1080.3532996895574,8.90484375,5.38,2.179211595476317,168425743.45230618,128.781,中型_重構造_標準天井,success,5.947202205657959,fcstd_outputs/sample27.FCStd
8.58,12.68,4.13,2.82,244,374,786,371,151,-20.2,0.58,0.23,-0.32,1.5,1219047.8879714818,605.8259745967821,8.947062500000001,5.73,1.2450022564781233,132625583.54312457,108.7944,中型_重構造_標準天井,success,5.578810691833496,fcstd_outputs/sample28.FCStd
