PSO2最適化進捗ログ（ビット変数対応）
開始時刻: 2025/07/20 20:31:32
粒子数: 15, 反復回数: 20
ビット変換方法: threshold
------------------------------------------------------------
反復	gbest値	pbest平均	pbest標準偏差
------------------------------------------------------------
0	537326.58	829114.67	160276.56
1	537326.58	723645.13	81490.22
2	535389.61	641801.52	69368.02
3	507260.69	580337.32	56887.50
4	487452.45	533904.11	37774.95
5	424474.37	476298.32	34999.23
6	424474.37	456182.16	27400.97
7	421206.48	447440.04	22444.71
8	406448.20	437877.17	22533.10
9	406448.20	434106.20	22024.57
10	406448.20	428649.03	20824.41
11	405064.53	419357.01	11861.87
12	402012.03	414262.94	10673.49
13	402012.03	411394.61	9227.07
14	402012.03	410964.60	9428.84
15	402012.03	409342.31	9334.64
16	402012.03	408758.96	9457.95
17	402012.03	408758.96	9457.95
18	400135.14	408271.44	9102.86
19	400135.14	407863.01	9269.25
20	400135.14	407023.99	8340.33
