PSO最適化進捗ログ
開始時刻: 2025/07/31 16:44:40
粒子数: 15, 反復回数: 20
------------------------------------------------------------
反復	gbest値	pbest平均	pbest標準偏差
------------------------------------------------------------
0	592702.22	949763.49	267974.17
1	592702.22	751860.90	122367.73
2	584549.10	676409.02	84475.42
3	545141.94	618362.14	46079.37
4	489147.04	561331.35	44347.33
5	451875.29	489163.94	34273.88
6	434580.27	465790.72	22274.64
7	434580.27	457732.95	11806.08
8	434580.27	455745.68	10836.55
9	422680.29	450088.34	11525.54
10	422680.29	449098.44	10695.89
11	419693.63	445229.37	13284.58
12	414307.89	436335.83	11930.99
13	414307.89	434008.56	11068.02
14	414307.89	429361.29	10969.05
15	405574.20	425642.10	10357.98
16	404735.97	421653.47	9584.74
